,ID,Type,Story,Parent,Points,Comments,Author,Title,URL,Content,Created
0,9914223,comment,9913774.0,9913774.0,0,0,unabst,,,"This was truer in the past when entrepreneurs had to build physical products or lobby for their business through established family connections of power. Today wealth is less required as long as a proper education can be paid for. Entrepreneurs thrive at Harvard, MIT, Caltec, Berkley, and the like... And software has been the social ladder super express. If Microsoft, google, virgin, facebook, instagram, uber, and apple weren&",
1,9914222,story,,,8,2,WebtestingIO,Automated Visual Testing and Pixel Comparison,http://webtesting.io/,,1437371940.0
2,9914221,comment,9913798.0,9913798.0,0,0,comrade1,,,Can you do anything with zombo? Anything at all? Is the only limit yourself?,1437371838.0
3,9914220,comment,9913774.0,9913774.0,0,0,Gustomaximus,,,From my view it seems factors &,
4,9914218,comment,9912970.0,9912970.0,0,0,Rifu,,,If you check the network tab when you visit twitter you&,
5,9914217,comment,9913945.0,9914051.0,0,0,Frenchgeek,,,"On the other hand, it is very easy to prove that a lack of caffeine make me very bad for everyone else.",1437371761.0
6,9914216,comment,9910622.0,9911696.0,0,0,kordless,,,I actually meant the reality we appear to exist in. https will eventually be broken and surveillance possible. :),1437371736.0
7,9914215,comment,9913209.0,9913209.0,0,0,ilaksh,,,Economics discussions are like a bunch of 1980s mechanics talking in a garage.  Or nuns discussing their faith.<p>The fundamental technology and premises are outdated.<p>You can&,
8,9914214,comment,9914024.0,9914024.0,0,0,Animats,,,Waiting for the names of politicians with accounts to appear in the press.,1437371667.0
9,9914213,comment,9910960.0,9912519.0,0,0,sitkack,,,"If you like IDE experiments you should checkout <a href=""http://peaker.github.io/lamdu/"" rel=""nofollow"">http://peaker.github.io/lamdu/</a>",1437371655.0
10,9914212,story,,,1,0,Danilka,Ask HN: How to find hidden correlations in data?,,"Here is the thing. I am very interested in identifying patterns in life events. It is clear that there are correlations between some events in life. i.e. Sleep well -> productivity.\nThe question is how to identify these patterns? It is somewhat easy to log events with a bunch of properties. How do I go about finding patterns within the data itself without having a sample set of successfully identified correlations?<p>I would be grateful for any reference points to books, articles, concepts, etc.",1437371646.0
11,9914211,comment,9914024.0,9914024.0,0,0,beedogs,,,It couldn&,
12,9914210,comment,9913209.0,9914096.0,0,0,philwelch,,,You&,
13,9914209,comment,9913719.0,9914183.0,0,0,seanmcdirmid,,,They don&,
14,9914208,comment,9914203.0,9914203.0,0,0,greenyoda,,,"Extensive prior discussion: <a href=""https://news.ycombinator.com/item?id=9906107"" rel=""nofollow"">https://news.ycombinator.com/item?id=9906107</a><p>This article adds nothing: it&",
15,9914207,comment,9913209.0,9914172.0,0,0,nl,,,"You are correct of course. Unfortunately some Western leaders have been a little unwise when speaking publicly:<p>&quot;this crusade, this war on terrorism, is going to take awhile.&quot; - GW Bush[1].<p>&quot;President Bush said to all of us: &",
16,9914206,comment,9912563.0,9914000.0,0,0,dllthomas,,,While I&,
17,9914205,comment,9913136.0,9913825.0,0,0,mastermojo,,,"Does it work with GitHub Pages?<p>Edit <a href=""http://gohugo.io/tutorials/github-pages-blog/"" rel=""nofollow"">http://gohugo.io/tutorials/github-pages-blog/</a>\nTHERE ARE SO MANY STEPS. I guess I&",
18,9914204,comment,9911942.0,9913875.0,0,0,weaksauce,,,I can&,
19,9914202,story,,,2,0,Sami_Lehtinen,Apple is working on a new e-commerce system based on your credit card balance,http://uk.businessinsider.com/apple-patent-for-e-commerce-and-mobile-advertising-system-2015-7,,1437371357.0
20,9914201,comment,9913719.0,9914180.0,0,0,seanmcdirmid,,,My wife often has a 30-40 minute wait at liangmaoqiao during peak travel time. This is just to get in the station.<p>God forbid if you ever have to transfer at xizhimen; I never thought it was possible to wait in line so long to take a subway.,1437371350.0
21,9914200,comment,9913784.0,9913784.0,0,0,rwallace,,,You are definitely selling yourself short. This is one area where you absolutely must not trust your instincts; they will give you wildly wrong answers.<p>A rule of thumb to start off with for calculating freelance/contract/consulting rates is to assume 1000 hours/year and figure how much you need to charge for what you want to be earning. By that rule of thumb you should be charging at least $120/hour - arguably more because this is your precious free time you&,
22,9914199,comment,9913774.0,9913774.0,0,0,dschiptsov,,,"The key concept here is diversification - having more than one source of income. The more of these you have - the less you are affected by risks and market volatility. You have much lower loss-aversion, you could even afford to fail-fast, abandon and start again or just delegate.<p>The simplest example is a landlord having a running businesses in his basements instead of just collecting a rent. These businesses could be seasonal, habit/passion-driven, barely profitable, etc.<p>Btw, a rich family doesn&",
23,9914198,comment,9913209.0,9913472.0,0,0,onedev,,,Mind expanding on what exactly you mean by &quot;widespread organizational decline.&quot;?,1437371302.0
24,9914197,comment,9913798.0,9914067.0,0,0,dordoka,,,Thanks a lot for open sourcing this!,1437371295.0
25,9914196,comment,9913209.0,9913209.0,0,0,deevus,,,Correct me if I&,
26,9914195,comment,9913209.0,9913748.0,0,0,philwelch,,,Neither Sanders nor Trump will come within a mile of the nomination.,1437371220.0
27,9914194,comment,9914024.0,9914173.0,0,0,drdeca,,,While I&,
28,9914193,comment,9913774.0,9914077.0,0,0,bksenior,,,I can&,
29,9914191,comment,9913209.0,9914122.0,0,0,philwelch,,,"Polling data in the July before an election has close to zero predictive power. Last time around, Herman Cain and Newt Gingrich had similar periods of being the front runner before they were dismissed by voters.",1437371135.0
30,9914190,comment,9913719.0,9913969.0,0,0,rahimnathwani,,,"Yup.  And the bus described was an inter-city bus, not a bus within Beijing.  Buses in Beijing are often full, but it&",
31,9914189,comment,9908853.0,9909427.0,0,0,CrankyFool,,,"Tolerance of failure is different for ICs and Managers, partially because Managers tend to have such an ability to really screw things up in a way that isn&",
32,9914188,comment,9912034.0,9912986.0,0,0,ploxiln,,,"I think the money quote from a comment is<p><pre><code>  Purism’s Librem 15 will ship with an Intel CPU fused to **run unsigned BIOS** code\n</code></pre>\nThis is apparently the first time a laptop is (almost) available with a recent Intel cpu where this is the case. This is needed for an attempt to port coreboot to be <i>possible</i>.<p>Original claim here: <a href=""https://puri.sm/posts/pioneering-cpu-efforts-to-liberate-laptop-hardware/"" rel=""nofollow"">https://puri.sm/posts/pioneering-cpu-efforts-to-liberate-lap...</a>",1437371086.0
33,9914187,comment,9913719.0,9913719.0,0,0,brianmcconnell,,,"One of the images that impressed me most in my life was flying down the east coast of China, equivalent distance from Cape Cod to Florida, and seeing nothing but a Venus-like hellscape of smog. Wasn&",
34,9914186,comment,9913719.0,9913719.0,0,0,Animats,,,China&,
35,9914185,comment,9913719.0,9913981.0,0,0,megablast,,,"I have no idea what the next commenters point is, people are often moved around for big projects. Or do you imagine that they just let people drown when building the hoover damn, or London subway?",1437370994.0
36,9914183,comment,9913719.0,9914092.0,0,0,rahimnathwani,,,Security checks (x ray machines for all but the smallest bags) were already in operation in 2012.  I don&,
37,9914182,comment,9913719.0,9914007.0,0,0,megablast,,,"I was in Germany, when there was a traffic jam blocking the way from just outside Munich most of the way to Hamburg. A 5 hour trip took over 10 hours, and that is because we moved onto the back streets.",1437370914.0
38,9914180,comment,9913719.0,9914014.0,0,0,rahimnathwani,,,The security lines are not a big bottleneck at most stations in Beijing.  There are rush hour peaks at some stations (e.g. wudaokou).,1437370823.0
